County,City,ZIP_Code
Sullivan,Shelburn,47879
Vigo,Shepardsville,47880
Clay,Staunton,47881
Sullivan,Sullivan,47882
Vermillion,Universal,47884
Vigo,West Terre Haute,47885
Tippecanoe,Lafayette,47901
Tippecanoe,Lafayette,47902
Tippecanoe,Lafayette,47903
Tippecanoe,Lafayette,47904
Tippecanoe,Lafayette,47905
Tippecanoe,West Lafayette,47906
Tippecanoe,West Lafayette,47907
Tippecanoe,Lafayette,47909
Montgomery,Alamo,47916
Warren,Ambia,47917
Fountain,Attica,47918
Tippecanoe,Battle Ground,47920
Benton,Boswell,47921
Newton,Brook,47922
White,Brookston,47923
Tippecanoe,Buck Creek,47924
White,Buffalo,47925
White,Burnettsville,47926
Vermillion,Cayuga,47928
White,Chalmers,47929
Tippecanoe,Clarks Hill,47930
Fountain,Covington,47932
Montgomery,Crawfordsville,47933
Montgomery,Crawfordsville,47934
Montgomery,Crawfordsville,47935
Montgomery,Crawfordsville,47936
Montgomery,Crawfordsville,47937
Montgomery,Crawfordsville,47938
Montgomery,Crawfordsville,47939
Montgomery,Darlington,47940
Tippecanoe,Dayton,47941
Benton,Earl Park,47942
Jasper,Fair Oaks,47943
Benton,Fowler,47944
Pulaski,Francesville,47946
Newton,Goodland,47948
Fountain,Hillsboro,47949
White,Idaville,47950
Newton,Kentland,47951
Fountain,Kingman,47952
Montgomery,Ladoga,47954
Montgomery,Linden,47955
Pulaski,Medaryville,47957
Fountain,Mellott,47958
White,Monon,47959
White,Monticello,47960
Tippecanoe,Montmorenci,47962
Newton,Morocco,47963
Newton,Mount Ayr,47964
Montgomery,New Market,47965
Vermillion,Newport,47966
Montgomery,New Richmond,47967
Montgomery,New Ross,47968
Fountain,Newtown,47969
Benton,Otterbein,47970
Benton,Oxford,47971
Vermillion,Perrysville,47974
Warren,Pine Village,47975
Jasper,Remington,47977
Jasper,Rensselaer,47978
White,Reynolds,47980
Tippecanoe,Romney,47981
Warren,State Line,47982
Tippecanoe,Stockwell,47983
Benton,Talbot,47984
Benton,Templeton,47986
Fountain,Veedersburg,47987
Fountain,Wallace,47988
Montgomery,Waveland,47989
Montgomery,Waynetown,47990
Warren,West Lebanon,47991
Tippecanoe,Westpoint,47992
Warren,Williamsport,47993
Montgomery,Wingate,47994
White,Wolcott,47995
Tippecanoe,West Lafayette,47996
